N,time_forward_ms,time_backward_ms,time_shaker_ms,time_comb_ms
1000,3.5017,3.1006,2.12,0.1558
2000,14.5667,16.2924,12.0768,0.3736
3000,36.7106,29.2668,18.7338,0.5875
5000,100.791,77.5386,51.0661,1.0363
7000,237.074,160.161,105.404,1.516
10000,511.356,377.79,260.071,2.4405
15000,1248.45,948.764,687.107,3.759
20000,2495.21,1900.63,1163.46,5.0153
